epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,12762.4,0.34186,0.43242,0.27739,0.85493,0.98228,0.7807,0.7935,0.7772,0.98141,0.78035,0.7934,0.73133,0.20942,0.34352,0.15744,0.77362,0.007129,0.007129,0.007129
31,13153.1,0.34024,0.42944,0.27527,0.85415,0.98134,0.78117,0.79332,0.77722,0.98097,0.78064,0.79324,0.73117,0.20809,0.34219,0.15663,0.77305,0.00703,0.00703,0.00703
32,13544.2,0.33882,0.43312,0.27179,0.85256,0.98155,0.78117,0.79327,0.7772,0.98283,0.78031,0.79317,0.7314,0.20739,0.34066,0.1559,0.77274,0.006931,0.006931,0.006931
33,13935.2,0.33537,0.42053,0.26913,0.85287,0.98269,0.78099,0.79334,0.77726,0.98438,0.78018,0.79334,0.73199,0.20664,0.33966,0.15497,0.77244,0.006832,0.006832,0.006832
34,14327.9,0.33533,0.42293,0.26952,0.85283,0.98325,0.78088,0.79354,0.77759,0.98283,0.78059,0.79364,0.73204,0.20601,0.33905,0.15439,0.77227,0.006733,0.006733,0.006733
35,14720.9,0.33248,0.41862,0.26546,0.84935,0.98311,0.78099,0.79359,0.77803,0.9866,0.77993,0.7936,0.73208,0.20537,0.33838,0.15399,0.77199,0.006634,0.006634,0.006634
36,15113.5,0.33196,0.42616,0.26715,0.85078,0.98316,0.78099,0.79363,0.77807,0.98725,0.77983,0.79347,0.73228,0.20492,0.33781,0.15365,0.77175,0.006535,0.006535,0.006535
37,15505,0.3314,0.41159,0.26492,0.84997,0.98304,0.78105,0.7937,0.77816,0.98772,0.77989,0.7936,0.73246,0.2046,0.338,0.15265,0.77161,0.006436,0.006436,0.006436
38,15897.4,0.32915,0.41192,0.26219,0.84986,0.98353,0.78082,0.79374,0.77832,0.98324,0.78059,0.79366,0.7325,0.20426,0.33709,0.15215,0.7715,0.006337,0.006337,0.006337
39,16289.6,0.32613,0.40734,0.2608,0.85091,0.98757,0.78018,0.7937,0.77857,0.98697,0.77995,0.79373,0.73238,0.20402,0.33667,0.15176,0.77138,0.006238,0.006238,0.006238
40,16681,0.32679,0.41065,0.25972,0.85024,0.98768,0.78018,0.79372,0.77861,0.98708,0.77995,0.79383,0.73271,0.20348,0.33679,0.15108,0.77121,0.006139,0.006139,0.006139
41,17073.3,0.32648,0.41393,0.25865,0.84994,0.98866,0.78018,0.7938,0.77848,0.98805,0.77995,0.79389,0.73311,0.20319,0.33628,0.15064,0.77107,0.00604,0.00604,0.00604
42,17465.1,0.32597,0.41858,0.25851,0.84996,0.98575,0.7807,0.7939,0.7783,0.98515,0.78047,0.79389,0.73309,0.20294,0.33601,0.15014,0.77092,0.005941,0.005941,0.005941
43,17855.4,0.3228,0.40316,0.25617,0.84794,0.98479,0.78087,0.79398,0.77874,0.98428,0.78064,0.79396,0.73327,0.20249,0.33556,0.14965,0.7708,0.005842,0.005842,0.005842
44,47912.4,0.3212,0.40897,0.25418,0.84882,0.98407,0.78094,0.79393,0.7787,0.98484,0.78046,0.79392,0.73319,0.20217,0.33516,0.14916,0.77072,0.005743,0.005743,0.005743
45,48339.1,0.31803,0.40151,0.25225,0.84716,0.98396,0.78106,0.79395,0.77887,0.98562,0.78034,0.79401,0.73324,0.20195,0.33468,0.14852,0.77059,0.005644,0.005644,0.005644
46,48758.7,0.31827,0.39412,0.2522,0.84648,0.9842,0.78106,0.79399,0.77883,0.98346,0.78077,0.79412,0.7332,0.20161,0.33442,0.148,0.77045,0.005545,0.005545,0.005545
47,34781.6,0.31804,0.39916,0.24884,0.84633,0.98441,0.78107,0.79402,0.77907,0.98784,0.78024,0.79424,0.73334,0.20119,0.33398,0.14771,0.77034,0.005446,0.005446,0.005446
48,35206.3,0.31365,0.38972,0.24686,0.84632,0.98429,0.7811,0.79413,0.77924,0.9881,0.7802,0.79396,0.73321,0.20071,0.33291,0.14719,0.77012,0.005347,0.005347,0.005347
49,35612.3,0.31574,0.39358,0.24626,0.84491,0.98361,0.78134,0.79423,0.77916,0.98648,0.78059,0.79415,0.73312,0.2004,0.33223,0.14674,0.76994,0.005248,0.005248,0.005248
50,36024.8,0.31554,0.40041,0.24803,0.84606,0.98484,0.78119,0.79426,0.77898,0.98642,0.78053,0.79417,0.73323,0.20007,0.33146,0.14629,0.7698,0.005149,0.005149,0.005149
51,36451.1,0.31262,0.38894,0.24298,0.84372,0.98591,0.78122,0.79429,0.77897,0.98572,0.78082,0.79422,0.7334,0.19966,0.33091,0.14562,0.76964,0.00505,0.00505,0.00505
52,36874.3,0.31305,0.39549,0.24494,0.84574,0.98658,0.78122,0.79435,0.77887,0.98599,0.78095,0.79431,0.73348,0.19943,0.33042,0.14588,0.7696,0.004951,0.004951,0.004951
53,37285.9,0.30927,0.38534,0.2416,0.84448,0.98652,0.78122,0.79446,0.77924,0.98615,0.78099,0.79454,0.73361,0.19902,0.33002,0.14526,0.7694,0.004852,0.004852,0.004852
54,37693.2,0.31029,0.39477,0.24304,0.84465,0.98688,0.78124,0.79457,0.77926,0.9869,0.78099,0.79464,0.73372,0.19879,0.32903,0.14432,0.76925,0.004753,0.004753,0.004753
55,38124.8,0.31095,0.39072,0.24252,0.84467,0.9877,0.78122,0.79462,0.77929,0.98745,0.78099,0.79457,0.73378,0.19858,0.32831,0.14406,0.76917,0.004654,0.004654,0.004654
56,38549.7,0.30729,0.38463,0.23941,0.84349,0.98805,0.78123,0.79466,0.77948,0.98775,0.78083,0.79461,0.73415,0.19829,0.32813,0.14374,0.76902,0.004555,0.004555,0.004555
57,38994.4,0.30625,0.38208,0.23719,0.84371,0.98864,0.78113,0.79476,0.77949,0.98804,0.7809,0.79458,0.73396,0.19812,0.32747,0.14321,0.7689,0.004456,0.004456,0.004456
58,39399.8,0.30692,0.38633,0.23656,0.84356,0.98867,0.78116,0.79479,0.77998,0.98807,0.78093,0.79461,0.73411,0.19769,0.32717,0.14274,0.76873,0.004357,0.004357,0.004357
59,39804.8,0.30344,0.38046,0.23487,0.842,0.98863,0.78111,0.79478,0.7801,0.98827,0.78087,0.79452,0.73406,0.19742,0.3264,0.14202,0.76862,0.004258,0.004258,0.004258
60,40214.7,0.30221,0.37635,0.23342,0.84299,0.98782,0.78131,0.79484,0.78007,0.98798,0.78089,0.79464,0.73409,0.19718,0.3258,0.14155,0.76848,0.004159,0.004159,0.004159
61,40606.7,0.30168,0.37355,0.23098,0.84205,0.98784,0.78136,0.79487,0.7801,0.98741,0.78105,0.79481,0.73434,0.19685,0.32494,0.14103,0.76836,0.00406,0.00406,0.00406
62,41007.2,0.29944,0.37442,0.22921,0.83953,0.98798,0.7814,0.79493,0.78041,0.98768,0.78111,0.79483,0.73446,0.19658,0.32492,0.14059,0.76825,0.003961,0.003961,0.003961
63,45239.7,0.29923,0.37255,0.22986,0.84114,0.98805,0.7814,0.79496,0.78034,0.98793,0.78117,0.79491,0.73446,0.19633,0.32472,0.14076,0.76815,0.003862,0.003862,0.003862
